gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService    ,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract      ,PaperlessBilling,PaymentMethod            ,MonthlyCharges,TotalCharges,PaymentMethod**3,log(TotalCharges),InternetService**3,1/TotalCharges,OnlineSecurity**3,TechSupport**3,Churn
0,0,1,1,7,1,1,2,0,0,0,0,0,0,0,0,3,20.25,144.35,27,4.972240906,8,0.006927607,0,0,0
1,0,0,0,46,1,1,1,2,2,2,1,2,1,1,1,1,95.65,4664.2,1,8.447671609,1,0.000214399,8,1,0
1,0,1,1,7,1,2,0,1,1,1,1,1,1,0,0,2,48.8,349.8,8,5.857361563,0,0.002858776,1,1,0
0,0,1,0,54,0,0,0,1,2,1,1,1,1,0,0,2,30.4,1621.35,8,7.391014415,0,0.00061677,1,1,0
1,0,1,0,60,0,0,0,1,2,2,2,2,2,2,0,1,60.8,3603.45,1,8.189646999,0,0.000277512,1,8,0
0,0,1,1,72,0,0,0,2,2,2,2,2,2,2,1,1,65.1,4754.3,1,8.466804751,0,0.000210336,8,8,0
1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,1,0,93.25,6688.95,0,8.80821219,0,0.0001495,8,8,0
0,0,1,0,10,1,1,1,1,1,1,1,1,1,0,1,2,70.1,659.65,8,6.491709391,1,0.001515955,1,1,1
1,0,0,0,3,1,1,1,1,1,2,1,1,1,0,1,3,74.75,238.1,27,5.472690753,1,0.004199916,1,1,0
0,0,1,1,30,1,2,1,2,2,1,1,2,1,0,1,2,94.4,2838.7,8,7.95110148,1,0.000352274,8,1,1
0,0,0,0,11,0,0,0,1,2,1,2,1,1,0,1,2,35.65,425.1,8,6.052324435,0,0.002352388,1,8,0
1,0,0,0,53,1,2,1,1,2,2,1,2,2,2,0,2,105.55,5682.25,8,8.64510256,1,0.000175987,1,1,0
0,0,1,1,55,1,1,0,2,1,1,1,1,2,1,0,1,59.45,3157,1,8.057377489,0,0.000316756,8,1,0
1,0,0,0,58,1,2,2,0,0,0,0,0,0,2,1,1,24.7,1519,1,7.325807503,8,0.000658328,0,0,0
0,0,0,0,27,1,1,2,0,0,0,0,0,0,0,1,2,19.4,529.8,8,6.272499577,8,0.001887505,0,0,0
1,1,0,0,4,1,2,0,1,1,1,1,1,1,0,0,3,48.75,179.85,27,5.19212317,0,0.005560189,1,1,0
1,0,1,1,5,1,1,1,1,1,1,1,1,1,0,0,1,69.95,320.4,1,5.769570215,1,0.003121099,1,1,0
1,1,0,0,42,1,2,1,1,2,2,1,2,2,0,1,0,104.75,4323.45,0,8.371808974,1,0.000231297,1,1,1
1,0,0,0,18,1,2,0,2,1,2,1,1,1,0,1,3,60.6,1156.35,27,7.053023772,0,0.00086479,8,1,0
0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,44.7,44.7,1,3.799973502,0,0.022371365,1,1,1
1,0,1,1,4,1,1,2,0,0,0,0,0,0,0,1,2,19.95,82.9,8,4.417635062,8,0.012062726,0,0,0
0,0,0,0,38,1,1,1,1,1,1,1,1,1,1,1,0,70.45,2597.6,0,7.862343221,1,0.000384971,1,1,1
0,0,0,1,5,1,1,2,0,0,0,0,0,0,0,0,1,20.35,122,1,4.804021045,8,0.008196721,0,0,0
1,0,0,0,3,1,1,1,1,2,1,1,2,1,0,0,2,83.75,247.25,8,5.510399971,1,0.004044489,1,1,1
1,0,0,0,70,1,2,1,2,2,2,2,2,2,2,1,1,111.95,7795.95,1,8.961359647,1,0.000128272,8,8,0
1,1,0,0,56,1,2,1,2,2,1,1,1,2,0,1,2,96.85,5219.65,8,8.560185629,1,0.000191584,8,1,0
1,0,1,1,46,1,1,2,0,0,0,0,0,0,2,0,0,20.25,890.35,0,6.791614644,8,0.001123154,0,0,0
0,0,0,0,57,1,1,2,0,0,0,0,0,0,2,0,3,20.75,1118.8,27,7.020011961,8,0.000893815,0,0,0
1,0,0,0,25,1,2,1,1,1,1,1,2,1,0,1,3,84.6,2088.05,27,7.643985895,1,0.000478916,1,1,0
0,1,1,0,38,0,0,0,1,1,1,1,1,1,0,1,2,24.85,955.75,8,6.862496373,0,0.001046299,1,1,0
1,0,1,0,49,1,2,1,2,1,1,1,2,2,0,1,3,100.85,4847.35,27,8.486187443,1,0.000206298,8,1,0
0,1,0,0,66,1,2,1,1,2,2,2,2,2,1,0,1,110.9,7432.05,1,8.913557008,1,0.000134552,1,8,1
0,1,1,1,24,1,2,1,2,1,1,1,1,1,0,1,2,79.85,1857.75,8,7.527121357,1,0.000538286,8,1,0
0,0,0,0,2,1,1,1,1,1,1,1,1,1,0,0,1,70.7,140.7,1,4.946629964,1,0.007107321,1,1,1
0,0,1,0,56,1,1,1,1,1,1,1,2,2,0,0,3,89.7,4952.95,27,8.507738638,1,0.0002019,1,1,0
0,0,1,0,63,1,2,1,1,2,2,1,2,2,0,1,2,103.4,6603,8,8.79527937,1,0.000151446,1,1,1
0,0,1,1,30,1,2,0,2,1,1,1,1,1,0,1,0,54.45,1588.7,0,7.370671351,0,0.000629445,8,1,0
1,0,0,0,3,1,1,0,1,2,1,2,2,2,0,1,2,75.3,244.1,8,5.497577977,0,0.004096682,1,8,0
1,0,0,0,1,1,1,1,1,1,1,1,1,2,0,1,2,79.7,79.7,8,4.378269586,1,0.012547051,1,1,1
0,0,1,0,71,1,2,1,2,2,2,1,2,1,2,1,2,99,6994.6,8,8.852893702,1,0.000142967,8,1,0
0,0,1,1,42,0,0,0,1,2,2,1,1,2,1,1,1,45.1,2049.05,1,7.62513155,0,0.000488031,1,1,0
0,0,0,0,10,1,1,0,1,1,1,1,1,1,0,1,1,45.8,436.2,1,6.078100854,0,0.002292526,1,1,0
0,0,1,0,64,1,2,1,2,1,2,2,2,2,1,1,3,108.5,6880.85,27,8.83649747,1,0.000145331,8,8,0
0,0,1,1,72,1,1,0,1,2,2,1,2,2,2,1,0,75.4,5480.25,0,8.608905999,0,0.000182473,1,1,0
1,0,1,1,23,1,1,2,0,0,0,0,0,0,2,0,0,20.4,478.75,0,6.17117854,8,0.002088773,0,0,0
0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,3,19.05,19.05,27,2.947067102,8,0.052493438,0,0,0
0,0,1,1,34,1,1,1,1,1,1,1,2,1,0,0,2,78.3,2564.3,8,7.849440816,1,0.00038997,1,1,1
1,1,1,0,55,1,2,1,1,2,2,2,1,1,0,0,2,90.45,5044.8,8,8.526113289,1,0.000198224,1,8,0
0,0,1,0,68,1,2,2,0,0,0,0,0,0,2,0,1,25.05,1629.2,1,7.395844376,8,0.000613798,0,0,0
1,0,0,1,1,1,1,0,2,1,1,2,1,1,0,0,2,54.5,54.5,8,3.998200702,0,0.018348624,8,8,0
0,0,0,0,10,1,2,1,1,1,1,1,2,1,0,1,0,86.05,834.1,0,6.726353299,1,0.001198897,1,1,1
0,0,1,0,72,1,2,1,2,2,1,2,2,2,2,1,1,108.95,7875,1,8.971448464,1,0.000126984,8,8,0
0,1,1,0,69,1,2,1,1,2,2,1,1,2,0,1,0,95.35,6382,0,8.761236807,1,0.000156691,1,1,0
0,0,1,1,26,1,1,1,1,1,1,1,1,2,1,0,0,78.95,2034.25,0,7.61788248,1,0.000491582,1,1,0
0,1,1,0,43,1,2,1,1,2,2,1,2,2,0,1,2,103,4414.3,8,8.39260455,1,0.000226536,1,1,1
1,0,0,0,15,1,2,0,1,1,1,1,1,1,0,1,3,48.8,720.1,27,6.579390091,0,0.001388696,1,1,0
1,0,1,1,72,1,1,0,2,2,2,2,1,2,2,1,2,74.35,5237.4,8,8.563580471,0,0.000190934,8,8,0
0,0,0,0,20,1,1,2,0,0,0,0,0,0,1,1,3,19.7,415.9,27,6.030444847,8,0.002404424,0,0,0
1,0,0,0,18,1,1,2,0,0,0,0,0,0,0,1,3,19.55,389.25,27,5.964221811,8,0.002569043,0,0,0
0,1,1,0,72,1,2,1,2,2,2,2,2,2,2,1,0,116.05,8404.9,0,9.036570148,1,0.000118978,8,8,0
1,0,1,1,30,1,1,2,0,0,0,0,0,0,2,0,3,19.7,599.25,27,6.395678873,8,0.001668753,0,0,0
0,0,0,0,65,1,2,2,0,0,0,0,0,0,2,0,3,25.75,1654.75,27,7.411405219,8,0.000604321,0,0,0
0,0,1,1,63,1,1,0,2,2,2,2,2,1,2,0,1,74.5,4674.55,1,8.44988818,0,0.000213924,8,8,0
0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,3,20.2,20.2,27,3.005682604,8,0.04950495,0,0,1
1,1,0,0,8,1,2,1,1,1,1,1,1,2,0,0,2,85.2,695.75,8,6.5449904,1,0.001437298,1,1,0
1,0,1,0,72,1,2,1,2,2,2,1,2,1,2,0,0,100.65,7334.05,0,8.900283166,1,0.00013635,8,1,0
1,0,0,0,2,1,1,1,1,1,1,1,1,2,0,0,2,80.75,159.45,8,5.071730393,1,0.006271558,1,1,1
0,0,0,0,21,1,1,2,0,0,0,0,0,0,0,0,1,20.5,402.85,1,5.998564284,8,0.002482314,0,0,0
1,0,1,1,71,1,2,1,2,2,2,2,2,2,2,0,1,113.65,8166.8,1,9.007832434,1,0.000122447,8,8,0
1,0,1,1,41,1,2,1,2,2,2,1,1,2,1,1,0,101.6,3930.55,0,8.276534644,1,0.000254417,8,1,0
0,0,1,1,40,1,2,1,2,2,1,2,2,2,0,1,1,110.1,4469.1,1,8.404942325,1,0.000223759,8,8,0
1,0,1,1,13,1,1,1,1,1,1,1,2,2,0,0,2,88.35,1222.8,8,7.10889859,1,0.000817795,1,1,1
0,0,0,1,2,1,1,2,0,0,0,0,0,0,0,0,3,20.4,42.9,27,3.758871826,8,0.023310023,0,0,0
1,1,1,0,65,1,1,1,1,2,2,2,2,2,2,1,1,105.85,6725.5,1,8.813661551,1,0.000148688,1,8,0
0,0,0,0,45,1,2,1,1,2,1,1,2,2,0,1,1,100.85,4740,1,8.463792415,1,0.00021097,1,1,1
0,1,0,0,42,1,2,1,1,2,1,1,1,1,0,1,0,79.35,3344.1,0,8.114952878,1,0.000299034,1,1,0
0,0,0,0,29,1,2,1,1,1,1,1,1,2,0,1,2,84.9,2516.2,8,7.830505106,1,0.000397425,1,1,0
0,0,0,0,7,1,2,2,0,0,0,0,0,0,0,1,0,25.05,152.95,0,5.030111071,8,0.006538084,0,0,0
0,0,0,0,5,1,2,1,1,2,2,1,2,2,0,0,3,104.1,541.9,27,6.295081483,1,0.001845359,1,1,1
0,0,0,0,68,1,2,1,2,2,2,2,2,2,1,1,1,117.2,8035.95,1,8.991680504,1,0.000124441,8,8,0
0,0,0,0,12,1,1,0,1,1,1,2,2,1,1,1,2,59.8,727.8,8,6.590026285,0,0.001374004,1,8,1
0,0,0,1,66,1,1,2,0,0,0,0,0,0,2,0,3,20.55,1357.1,27,7.213105349,8,0.000736865,0,0,0
0,0,0,0,30,1,2,1,2,1,1,1,2,2,0,1,0,100.4,2936.25,0,7.984888536,1,0.00034057,8,1,0
1,1,0,0,42,1,2,0,1,1,2,1,1,1,0,0,2,55.65,2421.75,8,7.792245698,0,0.000412925,1,1,0
0,0,1,1,57,1,1,1,1,2,2,1,2,2,1,1,1,97.55,5598,1,8.63016467,1,0.000178635,1,1,0
1,0,1,0,50,1,2,1,2,1,2,1,2,2,1,1,3,104.4,5232.9,27,8.562720897,1,0.000191099,8,1,0
0,0,0,0,30,1,1,2,0,0,0,0,0,0,1,0,3,19.7,625.05,27,6.437831647,8,0.001599872,0,0,0
0,0,0,0,4,1,1,1,1,1,1,1,2,2,0,1,2,88.45,370.65,8,5.915258221,1,0.002697963,1,1,1
1,1,0,0,56,1,2,1,1,2,2,2,2,2,1,1,2,111.95,6418.9,8,8.767002042,1,0.00015579,1,8,1
1,0,1,1,5,1,1,1,1,1,1,1,2,1,0,1,2,80.85,356.1,8,5.87521159,1,0.0028082,1,1,0
1,0,0,0,22,1,1,2,0,0,0,0,0,0,0,1,3,20.05,470.2,27,6.153158136,8,0.002126755,0,0,0
1,0,1,1,72,1,1,2,0,0,0,0,0,0,2,1,1,20.1,1326.25,1,7.19011069,8,0.000754006,0,0,0
1,0,0,0,41,1,2,0,2,1,2,2,1,2,0,1,0,74.65,3090.65,0,8.036136704,0,0.000323557,8,8,0
0,0,0,1,30,1,2,2,0,0,0,0,0,0,1,0,0,25.35,723.3,0,6.583824074,8,0.001382552,0,0,0
1,0,0,0,9,1,2,1,1,1,1,1,1,1,0,1,1,75.2,633.85,1,6.451812333,1,0.00157766,1,1,0
0,0,0,0,9,0,0,0,1,1,1,1,1,1,0,1,3,24.6,190.1,27,5.247550249,0,0.005260389,1,1,0
0,0,0,0,44,1,2,1,1,1,2,1,1,2,0,1,3,90.4,4063,27,8.309676896,1,0.000246124,1,1,0
1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,0,1,89.75,6595.9,1,8.794203523,0,0.000151609,8,8,0
1,0,0,0,15,1,2,0,1,1,1,1,1,1,0,0,3,48.85,631.4,27,6.447939576,0,0.001583782,1,1,0
0,0,1,1,8,1,2,0,2,2,1,2,1,2,2,1,1,76.15,645.8,1,6.470489858,0,0.001548467,8,8,0
0,0,1,1,72,1,2,1,1,1,2,1,1,2,2,1,1,90.8,6511.8,1,8.781371195,1,0.000153567,1,1,0
0,0,0,0,35,1,1,2,0,0,0,0,0,0,2,1,3,20.2,684.4,27,6.528542542,8,0.001461134,0,0,0
1,0,1,1,31,1,2,1,1,1,2,2,2,2,0,1,2,104.2,3243.45,8,8.084392857,1,0.000308314,1,8,1
0,0,0,0,4,1,2,0,1,1,1,2,1,2,0,0,3,65.55,237.2,27,5.468903667,0,0.004215852,1,8,0
1,0,1,1,52,1,2,2,0,0,0,0,0,0,2,0,3,23.05,1255.1,27,7.13497053,8,0.000796749,0,0,0
1,1,0,0,1,1,2,1,1,1,1,1,2,1,0,1,2,85.7,85.7,8,4.450852826,1,0.011668611,1,1,1
1,0,0,0,36,0,0,0,2,1,1,1,1,1,2,0,0,31.05,1126.35,0,7.026737595,0,0.000887824,8,1,0
0,0,1,1,22,1,1,1,1,2,2,1,2,2,1,1,3,100.05,2090.25,27,7.645038955,1,0.000478412,1,1,0
1,1,1,0,25,1,1,1,1,1,1,1,1,1,0,1,2,69.3,1813.1,8,7.502793366,1,0.000551542,1,1,0
0,1,1,1,1,1,1,0,1,1,1,2,1,1,0,1,1,49.25,49.25,1,3.896909368,0,0.020304569,1,8,1
1,0,1,0,56,1,1,1,2,2,2,1,2,2,1,1,1,105.6,6068.65,1,8.710891454,1,0.000164781,8,1,0
1,0,1,1,44,1,1,2,0,0,0,0,0,0,0,0,3,19.6,780.25,27,6.659614381,8,0.00128164,0,0,0
1,1,0,0,33,0,0,0,2,2,2,1,2,2,0,1,0,59.45,1884.65,0,7.541497406,0,0.000530602,8,1,0
0,0,1,1,6,1,2,2,0,0,0,0,0,0,2,0,3,25.4,153.3,27,5.032396786,8,0.006523157,0,0,0
1,0,0,0,8,1,1,1,2,1,1,1,2,1,0,0,2,84.95,668.4,8,6.504886797,1,0.00149611,8,1,1
1,0,1,1,46,1,1,2,0,0,0,0,0,0,2,0,3,19.4,967.85,27,6.875077117,8,0.001033218,0,0,0
1,0,0,1,3,0,0,0,1,2,1,1,1,1,0,0,3,29.65,90.05,27,4.500365072,0,0.011104942,1,1,0
0,1,0,0,1,1,2,1,1,1,1,1,1,1,0,1,2,74.4,74.4,8,4.309455942,1,0.01344086,1,1,1
0,1,0,0,16,1,2,1,1,1,1,1,2,1,0,1,2,86.6,1281,8,7.155396302,1,0.00078064,1,1,1
0,0,0,0,9,1,2,1,1,1,1,1,2,1,0,1,2,85.5,791.7,8,6.674182532,1,0.001263105,1,1,0
0,0,1,1,35,1,1,2,0,0,0,0,0,0,2,0,0,20.5,759.35,0,6.632462804,8,0.001316916,0,0,0
1,0,0,0,8,1,1,0,2,1,1,1,1,1,0,1,2,49.85,365.55,8,5.901403069,0,0.002735604,8,1,1
0,0,1,0,45,1,2,1,2,1,2,1,1,1,0,1,3,84.55,3713.95,27,8.219851279,1,0.000269255,8,1,0
0,1,1,0,7,1,1,1,1,1,1,1,1,1,0,1,3,70.1,467.55,27,6.147506295,1,0.002138809,1,1,1
1,0,1,0,44,1,2,1,1,1,1,1,2,2,0,1,2,96.1,4364.1,8,8.381167261,1,0.000229142,1,1,1
1,0,1,0,55,1,2,0,2,2,2,2,2,2,1,1,2,90.15,4916.95,8,8.500443699,0,0.000203378,8,8,0
1,1,0,0,8,1,2,1,1,1,1,2,2,2,0,1,1,100.15,908.55,1,6.811849922,1,0.001100655,1,8,0
1,0,0,0,46,1,1,1,1,1,2,1,1,1,0,1,1,74.8,3548.3,1,8.174223895,1,0.000281825,1,1,0
1,0,1,0,42,1,2,0,2,1,2,2,2,2,2,0,1,84.35,3571.6,1,8.180768954,0,0.000279987,8,8,0
1,1,0,0,70,1,2,0,1,2,2,2,2,1,2,1,0,75.5,5212.65,0,8.558843643,0,0.000191841,1,8,0
0,0,0,0,5,1,1,0,1,1,2,2,1,1,0,0,2,56.15,291.45,8,5.674868464,0,0.00343112,1,8,0
1,1,0,0,3,1,2,1,1,1,1,1,1,1,0,1,1,75.05,256.25,1,5.54615353,1,0.003902439,1,1,1
0,0,1,0,55,1,2,2,0,0,0,0,0,0,2,0,0,25.7,1443.65,0,7.274929908,8,0.000692689,0,0,0
1,0,0,0,55,1,1,1,1,2,2,1,1,1,0,1,2,81.55,4509.5,8,8.413941562,1,0.000221754,1,1,0
0,0,1,1,1,1,1,2,0,0,0,0,0,0,1,0,3,19.65,19.65,27,2.978077338,8,0.050890585,0,0,0
0,1,0,0,4,1,1,1,1,1,1,1,1,1,0,1,2,70.65,293.85,8,5.683069433,1,0.003403097,1,1,0
0,0,1,0,27,1,1,0,2,1,1,1,1,1,1,0,1,48.7,1421.75,1,7.259643786,0,0.000703359,8,1,0
0,1,1,0,36,1,2,1,1,1,1,1,1,2,0,1,2,84.1,3021.6,8,8.013541771,1,0.00033095,1,1,1
0,0,1,1,71,1,1,0,2,1,2,2,1,2,2,1,1,70.85,4973.4,1,8.51185899,0,0.00020107,8,8,0
1,0,1,1,5,0,0,0,1,2,1,2,1,1,0,0,2,34.25,163.55,8,5.097118754,0,0.006114338,1,8,0
0,0,0,0,3,1,1,1,1,1,1,1,1,2,0,1,2,80.35,253.8,8,5.536546555,1,0.00394011,1,1,0
1,0,0,0,59,1,2,0,2,2,2,2,1,2,1,0,1,79.85,4786.1,1,8.473471163,0,0.000208938,8,8,0
0,0,0,0,17,1,1,2,0,0,0,0,0,0,0,0,1,21.1,385.55,1,5.954670886,8,0.002593697,0,0,0
0,0,0,0,45,1,1,0,2,1,2,1,2,2,0,1,2,75.95,3273.8,8,8.093706669,0,0.000305455,8,1,0
0,0,1,0,45,1,2,1,1,2,1,1,1,1,0,0,0,81.4,3775.85,0,8.236380802,1,0.000264841,1,1,0
