gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService    ,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract      ,PaperlessBilling,PaymentMethod            ,MonthlyCharges,TotalCharges,PaymentMethod**3,log(TotalCharges),InternetService**3,1/TotalCharges,OnlineSecurity**3,TechSupport**3,Churn,sample weights
1.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,65.6,250.1,8.0,5.521860837883573,0.0,0.003998400639744102,1.0,1.0,0.0,0.9986222617178715
0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,73.35,1760.4,27.0,7.473296334936936,0.0,0.0005680527152919791,1.0,8.0,0.0,1.0014364970416356
0.0,0.0,0.0,0.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,74.9,541.15,8.0,6.293696504741155,1.0,0.0018479164741753674,1.0,1.0,1.0,0.9959687594831579
1.0,0.0,0.0,0.0,59.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,19.35,1099.6,27.0,7.00270175629109,8.0,0.0009094216078574028,0.0,0.0,1.0,1.0039081492033508
0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,25.3,77.75,8.0,4.353498551059343,0.0,0.012861736334405145,1.0,1.0,1.0,0.9959687594831579
1.0,0.0,1.0,1.0,45.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,73.85,3371.0,1.0,8.12296471523406,0.0,0.0002966478789676654,8.0,8.0,0.0,0.9986222617178715
1.0,0.0,0.0,1.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.7,111.65,27.0,4.7153689782861665,8.0,0.008956560680698611,0.0,0.0,0.0,0.9986222617178715
1.0,0.0,0.0,0.0,32.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,20.35,707.5,1.0,6.561737629517393,8.0,0.0014134275618374558,0.0,0.0,0.0,0.9986222617178715
0.0,0.0,1.0,0.0,70.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.8,1397.65,0.0,7.242547533795255,8.0,0.0007154867098343648,0.0,0.0,0.0,1.0014364970416356
1.0,1.0,1.0,0.0,45.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,24.7,1174.35,1.0,7.068470082022033,8.0,0.0008515348916421851,0.0,0.0,0.0,0.9986222617178715
1.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,44.7,276.5,1.0,5.6222108209623896,0.0,0.003616636528028933,1.0,1.0,0.0,0.9986222617178715
1.0,0.0,0.0,0.0,57.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,54.65,3134.7,27.0,8.050288754708175,0.0,0.00031900979360066357,1.0,8.0,0.0,0.9986222617178715
1.0,0.0,1.0,0.0,72.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,97.95,7114.25,1.0,8.869855093864508,1.0,0.00014056295463330638,8.0,1.0,0.0,0.9986222617178715
0.0,0.0,1.0,0.0,54.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,114.65,6049.5,27.0,8.707730902981533,1.0,0.00016530291759649557,8.0,8.0,0.0,1.0014364970416356
1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,70.05,70.05,8.0,4.249209272783016,1.0,0.014275517487508924,1.0,1.0,0.0,0.9986222617178715
0.0,0.0,1.0,1.0,40.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.15,777.35,0.0,6.65589069939575,8.0,0.0012864218177140285,0.0,0.0,0.0,1.0014364970416356
1.0,0.0,0.0,0.0,43.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,90.65,3882.3,1.0,8.264183040495734,1.0,0.00025757927002034877,8.0,8.0,0.0,0.9986222617178715
0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.95,58.0,27.0,4.060443010546419,8.0,0.017241379310344827,0.0,0.0,0.0,1.0014364970416356
1.0,0.0,0.0,0.0,27.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,81.7,2212.55,8.0,7.70190097549679,0.0,0.00045196718718221055,8.0,8.0,0.0,0.9986222617178715
1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.15,20.15,27.0,3.0032042883926917,8.0,0.04962779156327544,0.0,0.0,1.0,1.0039081492033508
0.0,0.0,1.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,89.45,853.1,8.0,6.748876773914649,1.0,0.001172195522213105,1.0,1.0,1.0,0.9959687594831579
1.0,0.0,1.0,1.0,11.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,74.35,834.2,8.0,6.726473181762845,1.0,0.0011987532965715656,1.0,1.0,1.0,1.0039081492033508
1.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,70.5,597.9,8.0,6.393423515886859,1.0,0.0016725204883759827,1.0,1.0,0.0,0.9986222617178715
1.0,0.0,0.0,0.0,63.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,86.7,5309.5,0.0,8.5772529478439,0.0,0.0001883416517562859,8.0,8.0,0.0,0.9986222617178715
0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,64.6,174.2,8.0,5.160204064418402,0.0,0.0057405281285878304,1.0,8.0,0.0,1.0014364970416356
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,89.1,89.1,8.0,4.489759334476764,1.0,0.011223344556677891,1.0,1.0,1.0,1.0039081492033508
1.0,0.0,1.0,1.0,11.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95,267.35,0.0,5.588558661394741,8.0,0.003740415186085655,0.0,0.0,0.0,0.9986222617178715
1.0,1.0,1.0,1.0,43.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,110.75,4687.9,0.0,8.452739999971318,1.0,0.0002133151304422023,1.0,8.0,1.0,1.0039081492033508
0.0,0.0,1.0,1.0,58.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,75.8,4415.75,27.0,8.392932974035553,0.0,0.00022646209590669762,8.0,8.0,0.0,1.0014364970416356
1.0,0.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,85.85,4793.8,27.0,8.47507869530889,1.0,0.0002086027785890108,1.0,8.0,0.0,0.9986222617178715
1.0,0.0,1.0,0.0,50.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,99.4,5059.75,8.0,8.529072353946315,1.0,0.00019763822323237313,1.0,8.0,0.0,0.9986222617178715
0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,30.6,856.35,8.0,6.752679171078378,0.0,0.0011677468324867168,1.0,1.0,1.0,0.9959687594831579
1.0,0.0,0.0,0.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,75.85,724.65,8.0,6.5856887796685255,1.0,0.0013799765403988134,1.0,1.0,0.0,0.9986222617178715
1.0,0.0,1.0,1.0,22.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,75.0,1573.95,0.0,7.36134366227203,1.0,0.0006353441977191143,8.0,1.0,0.0,0.9986222617178715
0.0,0.0,0.0,1.0,23.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,49.45,1119.35,8.0,7.020503438673891,0.0,0.0008933756197793363,1.0,8.0,0.0,1.0014364970416356
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,25.15,25.15,27.0,3.224857896545748,0.0,0.039761431411530816,1.0,1.0,0.0,1.0014364970416356
1.0,0.0,0.0,0.0,53.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,73.9,3958.25,0.0,8.283557287381544,0.0,0.0002526368976188972,1.0,8.0,0.0,0.9986222617178715
0.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,45.05,523.1,8.0,6.259772650376566,0.0,0.0019116803670426305,1.0,1.0,0.0,1.0014364970416356
0.0,0.0,0.0,0.0,29.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,74.2,1993.25,8.0,7.5975217513826045,1.0,0.0005016932145992726,1.0,1.0,0.0,1.0014364970416356
1.0,0.0,1.0,1.0,47.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,40.3,1794.8,8.0,7.492648874101828,0.0,0.0005571651437486071,8.0,8.0,0.0,0.9986222617178715
1.0,0.0,0.0,0.0,29.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,98.8,2807.1,1.0,7.9399072009499765,1.0,0.00035623953546364576,1.0,8.0,0.0,0.9986222617178715
1.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,48.7,340.25,8.0,5.829680641531575,0.0,0.0029390154298310064,1.0,1.0,1.0,1.0039081492033508
0.0,0.0,0.0,0.0,36.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,104.8,3886.45,0.0,8.265251423541848,1.0,0.0002573042236488312,1.0,1.0,0.0,1.0014364970416356
1.0,0.0,0.0,0.0,69.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,19.95,1399.35,1.0,7.243763122075079,8.0,0.0007146175009825991,0.0,0.0,0.0,0.9986222617178715
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,68.5,68.5,8.0,4.22683374526818,1.0,0.014598540145985401,1.0,1.0,1.0,1.0039081492033508
1.0,0.0,1.0,1.0,10.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,20.45,242.4,27.0,5.490589254195159,8.0,0.004125412541254125,0.0,0.0,0.0,0.9986222617178715
0.0,0.0,0.0,0.0,24.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,25.15,553.0,1.0,6.315358001522335,8.0,0.0018083182640144665,0.0,0.0,0.0,1.0014364970416356
1.0,1.0,1.0,0.0,23.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,86.8,1975.85,8.0,7.588753964495258,1.0,0.0005061112938735228,1.0,1.0,0.0,0.9986222617178715
0.0,0.0,1.0,1.0,49.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,107.95,5293.2,0.0,8.574178256898895,1.0,0.00018892163530567522,1.0,8.0,1.0,0.9959687594831579
0.0,0.0,1.0,1.0,48.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.2,1027.25,0.0,6.934640607763519,8.0,0.0009734728644439036,0.0,0.0,0.0,1.0014364970416356
0.0,0.0,0.0,0.0,54.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,20.1,1079.45,27.0,6.984206931142468,8.0,0.0009263977025336977,0.0,0.0,0.0,1.0014364970416356
0.0,0.0,1.0,1.0,41.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.7,804.25,0.0,6.689910166119136,8.0,0.0012433944668946222,0.0,0.0,0.0,1.0014364970416356
0.0,0.0,0.0,0.0,45.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,89.3,4016.85,1.0,8.2982532923626,1.0,0.00024895129267958724,1.0,1.0,1.0,0.9959687594831579
1.0,0.0,1.0,1.0,7.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.25,144.35,27.0,4.972240906108944,8.0,0.006927606511950121,0.0,0.0,0.0,0.9986222617178715
0.0,0.0,0.0,0.0,46.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,95.65,4664.2,1.0,8.447671608757592,1.0,0.00021439903949230308,8.0,1.0,0.0,1.0014364970416356
0.0,0.0,1.0,1.0,7.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,48.8,349.8,8.0,5.857361562584502,0.0,0.002858776443682104,1.0,1.0,0.0,1.0014364970416356
1.0,0.0,1.0,0.0,54.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,30.4,1621.35,8.0,7.391014414530321,0.0,0.000616769975637586,1.0,1.0,0.0,0.9986222617178715
0.0,0.0,1.0,0.0,60.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,60.8,3603.45,1.0,8.189646998869314,0.0,0.00027751182894170866,1.0,8.0,0.0,1.0014364970416356
1.0,0.0,1.0,1.0,72.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,65.1,4754.3,1.0,8.466804750683009,0.0,0.00021033590644258882,8.0,8.0,0.0,0.9986222617178715
0.0,0.0,1.0,1.0,72.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,93.25,6688.95,0.0,8.808212190131583,0.0,0.00014950029526308314,8.0,8.0,0.0,1.0014364970416356
1.0,0.0,1.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,70.1,659.65,8.0,6.491709391329786,1.0,0.0015159554309103313,1.0,1.0,1.0,1.0039081492033508
0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,74.75,238.1,27.0,5.472690753492817,1.0,0.004199916001679967,1.0,1.0,0.0,1.0014364970416356
1.0,0.0,1.0,1.0,30.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,94.4,2838.7,8.0,7.951101479878477,1.0,0.00035227392820657346,8.0,1.0,1.0,1.0039081492033508
1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,35.65,425.1,8.0,6.052324435364745,0.0,0.002352387673488591,1.0,8.0,0.0,0.9986222617178715
0.0,0.0,0.0,0.0,53.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,105.55,5682.25,8.0,8.645102560038268,1.0,0.00017598662501649875,1.0,1.0,0.0,1.0014364970416356
1.0,0.0,1.0,1.0,55.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,59.45,3157.0,1.0,8.057377488557991,0.0,0.0003167564143173899,8.0,1.0,0.0,0.9986222617178715
0.0,0.0,0.0,0.0,58.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,24.7,1519.0,1.0,7.325807502595773,8.0,0.0006583278472679394,0.0,0.0,0.0,1.0014364970416356
1.0,0.0,0.0,0.0,27.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,19.4,529.8,8.0,6.272499576837969,8.0,0.001887504718761797,0.0,0.0,0.0,0.9986222617178715
0.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,48.75,179.85,27.0,5.192123170141633,0.0,0.005560189046427579,1.0,1.0,0.0,1.0014364970416356
0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,69.95,320.4,1.0,5.769570215194204,1.0,0.0031210986267166045,1.0,1.0,0.0,1.0014364970416356
0.0,1.0,0.0,0.0,42.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,104.75,4323.45,0.0,8.371808973629092,1.0,0.0002312967653147371,1.0,1.0,1.0,0.9959687594831579
0.0,0.0,0.0,0.0,18.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,60.6,1156.35,27.0,7.053023771573381,0.0,0.0008647900722099711,8.0,1.0,0.0,1.0014364970416356
1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,44.7,44.7,1.0,3.7999735016195233,0.0,0.022371364653243846,1.0,1.0,1.0,1.0039081492033508
0.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,19.95,82.9,8.0,4.417635062141249,8.0,0.012062726176115802,0.0,0.0,0.0,1.0014364970416356
1.0,0.0,0.0,0.0,38.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,70.45,2597.6,0.0,7.862343220788636,1.0,0.000384970742223591,1.0,1.0,1.0,1.0039081492033508
1.0,0.0,0.0,1.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.35,122.0,1.0,4.804021044733257,8.0,0.00819672131147541,0.0,0.0,0.0,0.9986222617178715
0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,83.75,247.25,8.0,5.510399970502822,1.0,0.004044489383215369,1.0,1.0,1.0,0.9959687594831579
0.0,0.0,0.0,0.0,70.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,111.95,7795.95,1.0,8.961359647061476,1.0,0.0001282717308346,8.0,8.0,0.0,1.0014364970416356
0.0,1.0,0.0,0.0,56.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,96.85,5219.65,8.0,8.560185628820316,1.0,0.00019158372687823897,8.0,1.0,0.0,1.0014364970416356
0.0,0.0,1.0,1.0,46.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.25,890.35,0.0,6.791614643847323,8.0,0.0011231538159150896,0.0,0.0,0.0,1.0014364970416356
1.0,0.0,0.0,0.0,57.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,20.75,1118.8,27.0,7.020011961327804,8.0,0.0008938148015731141,0.0,0.0,0.0,0.9986222617178715
0.0,0.0,0.0,0.0,25.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,84.6,2088.05,27.0,7.643985895075973,1.0,0.000478915734776466,1.0,1.0,0.0,1.0014364970416356
1.0,1.0,1.0,0.0,38.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,24.85,955.75,8.0,6.862496372576522,0.0,0.00104629871828407,1.0,1.0,0.0,0.9986222617178715
0.0,0.0,1.0,0.0,49.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,100.85,4847.35,27.0,8.486187442852582,1.0,0.00020629828669272901,8.0,1.0,0.0,1.0014364970416356
1.0,1.0,0.0,0.0,66.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,110.9,7432.05,1.0,8.913557008135198,1.0,0.00013455237787689803,1.0,8.0,1.0,1.0039081492033508
1.0,1.0,1.0,1.0,24.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,79.85,1857.75,8.0,7.527121357037578,1.0,0.0005382855604898399,8.0,1.0,0.0,0.9986222617178715
1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,70.7,140.7,1.0,4.946629964120343,1.0,0.007107320540156362,1.0,1.0,1.0,1.0039081492033508
1.0,0.0,1.0,0.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,89.7,4952.95,27.0,8.5077386376453,1.0,0.0002018998778505739,1.0,1.0,0.0,0.9986222617178715
1.0,0.0,1.0,0.0,63.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,103.4,6603.0,8.0,8.79527937019457,1.0,0.00015144631228229593,1.0,1.0,1.0,1.0039081492033508
1.0,0.0,1.0,1.0,30.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,54.45,1588.7,0.0,7.370671350725978,0.0,0.0006294454585510166,8.0,1.0,0.0,0.9986222617178715
0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,75.3,244.1,8.0,5.497577977398914,0.0,0.004096681687832855,1.0,8.0,0.0,1.0014364970416356
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,79.7,79.7,8.0,4.378269585796169,1.0,0.012547051442910916,1.0,1.0,1.0,0.9959687594831579
1.0,0.0,1.0,0.0,71.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,99.0,6994.6,8.0,8.852893701761886,1.0,0.00014296743201898607,8.0,1.0,0.0,0.9986222617178715
1.0,0.0,1.0,1.0,42.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,45.1,2049.05,1.0,7.625131550088561,0.0,0.000488031038774066,1.0,1.0,0.0,0.9986222617178715
1.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,45.8,436.2,1.0,6.078100853767529,0.0,0.0022925263640531865,1.0,1.0,0.0,0.9986222617178715
1.0,0.0,1.0,0.0,64.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,108.5,6880.85,27.0,8.836497469807776,1.0,0.00014533088208578882,8.0,8.0,0.0,0.9986222617178715
1.0,0.0,1.0,1.0,72.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,75.4,5480.25,0.0,8.608905999339436,0.0,0.0001824734273071484,1.0,1.0,0.0,0.9986222617178715
